        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-07-24 08:09:57 ,        1297.0   ,           1748.0   ,         105.0   ,         102.0   ,               64.0   ,                          72.0   ,                  60.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         32   ,                        6   ,                       2864   ,                      459   ,                  99.0   ,         0.725   ,            0.850   ,               51.4   ,                  8641   ,
2024-07-24 08:09:58 ,        1642.0   ,           1750.0   ,         105.0   ,         102.0   ,               65.0   ,                          74.0   ,                  60.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         59   ,                       13   ,                       2985   ,                      459   ,                 144.0   ,         0.725   ,            0.850   ,               51.3   ,                  8636   ,
2024-07-24 08:09:59 ,        1707.0   ,           1746.0   ,         105.0   ,         102.0   ,               65.0   ,                          74.0   ,                  60.0   ,                   51.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         74   ,                       15   ,                       2994   ,                      459   ,                 156.0   ,         1.200   ,            0.850   ,               50.6   ,                  8636   ,
2024-07-24 08:10:00 ,        1498.0   ,           1744.0   ,         105.0   ,         102.0   ,               64.0   ,                          72.0   ,                  60.0   ,                   51.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         55   ,                       10   ,                       2994   ,                      459   ,                 122.0   ,         1.200   ,            0.850   ,               50.0   ,                  8641   ,
2024-07-24 08:10:01 ,        1207.0   ,           1744.0   ,         105.0   ,         102.0   ,               64.0   ,                          71.0   ,                  60.0   ,                   51.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         29   ,                        8   ,                       2994   ,                      459   ,                  79.0   ,         1.200   ,            0.850   ,               49.4   ,                  8640   ,
2024-07-24 08:10:02 ,        1084.0   ,           1748.0   ,         105.0   ,         102.0   ,               64.0   ,                          69.0   ,                  60.0   ,                   51.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         18   ,                        5   ,                       2994   ,                      459   ,                  72.0   ,         0.725   ,            0.850   ,               48.9   ,                  8640   ,
2024-07-24 08:10:03 ,        1266.0   ,           1748.0   ,         105.0   ,         102.0   ,               64.0   ,                          71.0   ,                  60.0   ,                   51.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         30   ,                        7   ,                       2994   ,                      459   ,                  95.0   ,         0.725   ,            0.850   ,               48.5   ,                  8645   ,
2024-07-24 08:10:04 ,        1524.0   ,           1744.0   ,         105.0   ,         102.0   ,               65.0   ,                          72.0   ,                  60.0   ,                   52.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         59   ,                        9   ,                       2994   ,                      459   ,                 118.0   ,         1.200   ,            0.850   ,               48.0   ,                  8645   ,
2024-07-24 08:10:05 ,        1193.0   ,           1744.0   ,         105.0   ,         102.0   ,               64.0   ,                          70.0   ,                  60.0   ,                   52.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         29   ,                        7   ,                       2991   ,                      459   ,                  74.0   ,         1.200   ,            0.850   ,               47.9   ,                  8643   ,
2024-07-24 08:10:06 ,        1438.0   ,           1748.0   ,         105.0   ,         102.0   ,               65.0   ,                          72.0   ,                  60.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         41   ,                        9   ,                       2993   ,                      459   ,                 114.0   ,         0.725   ,            0.850   ,               47.6   ,                  8643   ,
2024-07-24 08:10:07 ,        1525.0   ,           1750.0   ,         105.0   ,         102.0   ,               65.0   ,                          73.0   ,                  60.0   ,                   52.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         50   ,                       10   ,                       2993   ,                      459   ,                 123.0   ,         0.725   ,            0.850   ,               47.3   ,                  8645   ,
2024-07-24 08:10:08 ,        1458.0   ,           1744.0   ,         105.0   ,         102.0   ,               65.0   ,                          72.0   ,                  60.0   ,                   52.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         53   ,                        9   ,                       2994   ,                      459   ,                 109.0   ,         1.200   ,            0.850   ,               47.3   ,                  8646   ,
2024-07-24 08:10:09 ,        1314.0   ,           1744.0   ,         105.0   ,         102.0   ,               65.0   ,                          71.0   ,                  60.0   ,                   52.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         41   ,                        9   ,                       2990   ,                      459   ,                  89.0   ,         1.200   ,            0.850   ,               47.5   ,                  8638   ,
2024-07-24 08:10:10 ,        1228.0   ,           1744.0   ,         105.0   ,         102.0   ,               65.0   ,                          71.0   ,                  60.0   ,                   52.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         32   ,                        8   ,                       2990   ,                      459   ,                  79.0   ,         1.200   ,            0.850   ,               47.8   ,                  8640   ,
